county_fips,arrests
01055,1
01073,1
01081,1
01095,1
01097,1
01103,1
01117,1
02170,1
04013,2
04019,2
05007,1
05045,1
06011,1
06037,6
06059,2
06061,1
06065,2
06067,1
06071,1
06073,1
06075,1
06085,1
06111,1
08005,1
08041,2
08059,1
08119,1
09001,1
10005,2
11001,2
12003,1
12009,4
12011,3
12019,3
12021,1
12033,2
12057,2
12081,1
12083,3
12086,1
12091,1
12095,3
12099,1
12103,3
12105,1
12109,1
12111,1
12115,1
12125,1
12127,1
13007,1
13057,1
13085,1
13121,1
13151,1
13135,1
13261,1
13281,1
15003,1
16001,2
16017,1
17001,2
17031,2
17099,1
18005,1
18055,2
18059,1
18081,1
18089,1
19113,1
19153,3
20091,3
20149,1
20177,1
21009,1
21059,1
21067,2
21093,1
21111,2
21149,1
21157,1
21179,1
21225,2
22017,1
22055,1
23031,1
24005,1
24021,1
24023,1
24025,3
24027,2
24031,2
24033,1
24037,1
25003,2
25017,2
26061,2
26099,3
26125,1
26163,2
27025,1
27027,1
27109,1
29071,1
29077,3
29095,1
29099,1
29141,1
29183,1
29189,1
29225,1
30001,2
30031,1
30039,1
30049,2
32003,1
33005,1
33009,1
34001,1
34005,1
34007,2
34013,1
34015,1
34017,1
34021,1
34023,1
34025,2
34035,1
34037,1
35035,1
35045,1
36001,1
36027,2
36027,1
36029,2
36047,2
36055,1
36059,3
36061,2
36067,1
36071,3
36079,1
36081,2
36085,1
36087,1
36093,1
36103,1
36113,1
36119,1
37035,1
37045,1
37057,1
37067,1
37071,1
37099,1
37157,1
37171,2
37183,2
39021,2
39027,1
39033,1
39037,2
39041,1
39047,1
39049,6
39085,1
39093,1
39155,1
39165,2
40101,3
40109,1
41049,1
41067,1
42003,3
42007,1
42017,4
42025,1
42027,1
42039,1
42041,1
42043,1
42045,2
42069,2
42071,2
42073,2
42075,3
42077,2
42079,1
42081,2
42085,2
42087,3
42101,2
42125,1
45045,1
45071,1
45091,2
47011,1
47035,1
47037,2
47149,1
47157,2
47165,3
48021,1
48029,3
48051,1
48055,1
48085,2
48091,1
48113,4
48121,2
48121,2
48147,1
48157,1
48183,1
48201,3
48209,1
48225,2
48265,1
48303,1
48309,1
48329,2
48365,1
48373,1
48439,2
48453,1
48491,1
49011,1
49035,1
49053,1
51015,1
51043,1
51059,1
51067,2
51073,1
51107,1
51115,2
51121,1
51520,2
51095,2
51700,1
51810,3
51830,1
51840,1
53011,2
53033,2
53035,1
54003,1
54061,1
54079,1
54099,1
54107,1
55017,1
55079,1
55105,1